% Model:              off_off_off.mph
% Version:            COMSOL 6.3.0.335
% Date:               Feb 6 2025, 22:41
% Table:              Table 9 - Global Evaluation 2
% k (1/m)                                         Eigenfrequency (Hz)                               Frequency (Hz)                                    p_ax (1)                                          p_tr (1)
0                                                 0.04514428009739759i                              0.04514428009739759i                              NaN                                               NaN
0                                                 0.04391962296830805                               0.04391962296830805                               NaN                                               NaN
0                                                 1955.0211804642363                                1955.0211804642363                                NaN                                               NaN
0                                                 1961.3546262725856                                1961.3546262725856                                NaN                                               NaN
0                                                 10671.11219121512                                 10671.11219121512                                 NaN                                               NaN
0                                                 10677.667574502375                                10677.667574502375                                NaN                                               NaN
0                                                 20921.40447463754                                 20921.40447463754                                 NaN                                               NaN
0                                                 26653.787627615176                                26653.787627615176                                NaN                                               NaN
0                                                 41360.06131153889                                 41360.06131153889                                 NaN                                               NaN
0                                                 41378.61702471798                                 41378.61702471798                                 NaN                                               NaN
0                                                 42271.63491464612                                 42271.63491464612                                 NaN                                               NaN
0                                                 43260.77183118227                                 43260.77183118227                                 NaN                                               NaN
0                                                 61275.52704630262                                 61275.52704630262                                 NaN                                               NaN
0                                                 61302.63797215087                                 61302.63797215087                                 NaN                                               NaN
0                                                 79858.44521956838                                 79858.44521956838                                 NaN                                               NaN
0                                                 86493.55560189688                                 86493.55560189688                                 NaN                                               NaN
0                                                 88704.15959267101                                 88704.15959267101                                 NaN                                               NaN
0                                                 90050.62056664334                                 90050.62056664334                                 NaN                                               NaN
0                                                 105216.55159512952                                105216.55159512952                                NaN                                               NaN
0                                                 105259.55242834512                                105259.55242834512                                NaN                                               NaN
0.4407397100995781                                0.053261685322304755+1.3443910395681483E-7i       0.053261685322304755+1.3443910395681483E-7i       1.4188044068147337E-7                             0.9999998581195586
0.4407397100995781                                212.7919878797896-7.766663212926647E-11i          212.7919878797896-7.766663212926647E-11i          0.9999999884751483                                1.1524851160427467E-8
0.4407397100995781                                1938.6878702272784+2.27452890637705E-7i           1938.6878702272784+2.27452890637705E-7i           0.006729712136628861                              0.9932702878633697
0.4407397100995781                                1977.7554148223182-9.548230703999185E-8i          1977.7554148223182-9.548230703999185E-8i          0.00689110134385878                               0.9931088986561408
0.4407397100995781                                10624.098941764674-1.8156550973865186E-6i         10624.098941764674-1.8156550973865186E-6i         0.020691698104620047                              0.9793083018953793
0.4407397100995781                                10724.862194389341+1.5970598760881098E-5i         10724.862194389341+1.5970598760881098E-5i         0.020962078548670667                              0.9790379214513312
