% Model:              on_off_off.mph
% Version:            COMSOL 6.3.0.335
% Date:               Feb 7 2025, 00:12
% Table:              Table 9 - Global Evaluation 2
% k (1/m)                                         Eigenfrequency (Hz)                               Frequency (Hz)                                    p_ax (1)                                          p_tr (1)
0                                                 0.044351323493016556i                             0.044351323493016556i                             NaN                                               NaN
0                                                 0.046962923465486285                              0.046962923465486285                              NaN                                               NaN
0                                                 1871.379836438825                                 1871.379836438825                                 NaN                                               NaN
0                                                 1912.13954891713                                  1912.13954891713                                  NaN                                               NaN
0                                                 9309.396052155556                                 9309.396052155556                                 NaN                                               NaN
0                                                 10414.180990919916                                10414.180990919916                                NaN                                               NaN
0                                                 19663.979914641666                                19663.979914641666                                NaN                                               NaN
0                                                 24306.018177700444                                24306.018177700444                                NaN                                               NaN
0                                                 37910.600691060674                                37910.600691060674                                NaN                                               NaN
0                                                 38973.56290431408                                 38973.56290431408                                 NaN                                               NaN
0                                                 40218.462223196155                                40218.462223196155                                NaN                                               NaN
0                                                 41888.97627504729                                 41888.97627504729                                 NaN                                               NaN
0                                                 56681.79125800013                                 56681.79125800013                                 NaN                                               NaN
0                                                 57451.460808822296                                57451.460808822296                                NaN                                               NaN
0                                                 75465.2642583547                                  75465.2642583547                                  NaN                                               NaN
0                                                 79412.1774188371                                  79412.1774188371                                  NaN                                               NaN
0                                                 83348.17014390203                                 83348.17014390203                                 NaN                                               NaN
0                                                 87190.0398689703                                  87190.0398689703                                  NaN                                               NaN
0                                                 97796.36467099455                                 97796.36467099455                                 NaN                                               NaN
0                                                 101000.24232392386                                101000.24232392386                                NaN                                               NaN
0.4407397100995781                                0.05166989908835771-1.347872616832183E-7i         0.05166989908835771-1.347872616832183E-7i         1.4188038117973187E-7                             0.9999998581196189
0.4407397100995781                                203.280571418408-1.552450379637691E-10i           203.280571418408-1.552450379637691E-10i           0.9999999880440138                                1.1955986213298738E-8
0.4407397100995781                                1864.141155098808+1.5295551924619787E-7i          1864.141155098808+1.5295551924619787E-7i          0.006515808976589317                              0.9934841910234113
0.4407397100995781                                1919.446839491328-1.0945505848986924E-7i          1919.446839491328-1.0945505848986924E-7i          0.006871381729073031                              0.9931286182709271
0.4407397100995781                                9307.500389178163-5.744541081285076E-6i           9307.500389178163-5.744541081285076E-6i           0.022471487938499065                              0.9775285120615004
0.4407397100995781                                10416.238599190367-2.1626360995722145E-5i         10416.238599190367-2.1626360995722145E-5i         0.019954755348103374                              0.9800452446518969
0.4407397100995781                                19662.9432777227+5.3819266075177395E-5i           19662.9432777227+5.3819266075177395E-5i           0.05463882160874752                               0.9453611783912528
0.4407397100995781                                24307.161053618038-4.37767290197661E-6i           24307.161053618038-4.37767290197661E-6i           0.028995262612921718                              0.9710047373870786
0.4407397100995781                                37903.61327628976-4.135921856519572E-5i           37903.61327628976-4.135921856519572E-5i           0.06760665034433783                               0.9323933496556626
0.4407397100995781                                38980.64183773662+6.886869585656412E-5i           38980.64183773662+6.886869585656412E-5i           0.05359190060681948                               0.9464080993931805
0.4407397100995781                                40192.573400557136+2.6674332238598618E-5i         40192.573400557136+2.6674332238598618E-5i         0.9993608189254873                                6.391810745115182E-4
0.4407397100995781                                41914.596795690995-3.261322357182598E-5i          41914.596795690995-3.261322357182598E-5i          0.9991268221506059                                8.731778493943482E-4
