% Model:              on_on_on.mph
% Version:            COMSOL 6.3.0.335
% Date:               Feb 7 2025, 00:05
% Table:              Table 9 - Global Evaluation 2
% k (1/m)                                         Eigenfrequency (Hz)                               Frequency (Hz)                                    p_ax (1)                                          p_tr (1)
0                                                 0.04839855529118364i                              0.04839855529118364i                              NaN                                               NaN
0                                                 0.04249008324400426                               0.04249008324400426                               NaN                                               NaN
0                                                 1767.4097762896258                                1767.4097762896258                                NaN                                               NaN
0                                                 1770.7010309799089                                1770.7010309799089                                NaN                                               NaN
0                                                 8531.839670349927                                 8531.839670349927                                 NaN                                               NaN
0                                                 8535.917886561243                                 8535.917886561243                                 NaN                                               NaN
0                                                 16960.188481691457                                16960.188481691457                                NaN                                               NaN
0                                                 21210.265666180625                                21210.265666180625                                NaN                                               NaN
0                                                 33252.94787708744                                 33252.94787708744                                 NaN                                               NaN
0                                                 33262.910049088685                                33262.910049088685                                NaN                                               NaN
0                                                 37530.258329896664                                37530.258329896664                                NaN                                               NaN
0                                                 38533.26728175761                                 38533.26728175761                                 NaN                                               NaN
0                                                 49850.04079701494                                 49850.04079701494                                 NaN                                               NaN
0                                                 49860.87661276475                                 49860.87661276475                                 NaN                                               NaN
0                                                 66817.32761698688                                 66817.32761698688                                 NaN                                               NaN
0                                                 69207.38595739662                                 69207.38595739662                                 NaN                                               NaN
0                                                 77448.12668619756                                 77448.12668619756                                 NaN                                               NaN
0                                                 78441.0557703943                                  78441.0557703943                                  NaN                                               NaN
0                                                 87181.96752400933                                 87181.96752400933                                 NaN                                               NaN
0                                                 87194.06371766518                                 87194.06371766518                                 NaN                                               NaN
0.4407397100995781                                0.042664536421432205+3.2371749239396333E-7i       0.042664536421432205+3.2371749239396333E-7i       1.4188023674108912E-7                             0.999999858119762
0.4407397100995781                                187.54034676902688-1.507166870309337E-10i         187.54034676902688-1.507166870309337E-10i         0.9999999881118617                                1.1888138840724464E-8
0.4407397100995781                                1751.4326360487837-3.265629114197829E-8i          1751.4326360487837-3.265629114197829E-8i          0.0063911686600141545                             0.9936088313399833
0.4407397100995781                                1786.7478483128907-1.93433742401649E-7i           1786.7478483128907-1.93433742401649E-7i           0.006541309030099841                              0.993458690969899
0.4407397100995781                                8492.788432328105+4.624551524542615E-6i           8492.788432328105+4.624551524542615E-6i           0.02116600665468438                               0.9788339933453146
0.4407397100995781                                8575.09727756719+3.583524862521147E-6i            8575.09727756719+3.583524862521147E-6i            0.021424831590797666                              0.9785751684092023
0.4407397100995781                                16959.31233244284-5.0247157762242216E-5i          16959.31233244284-5.0247157762242216E-5i          0.05552551529501884                               0.9444744847049797
0.4407397100995781                                21211.247867961367-2.0605793407803287E-5i         21211.247867961367-2.0605793407803287E-5i         0.02804244307896724                               0.9719575569210317
0.4407397100995781                                33181.805558004475+1.3490598071013969E-5i         33181.805558004475+1.3490598071013969E-5i         0.06538923942701937                               0.9346107605729815
0.4407397100995781                                33334.11042714771-1.9322559094255338E-5i          33334.11042714771-1.9322559094255338E-5i          0.06571603076933985                               0.9342839692306599
0.4407397100995781                                37492.83934058833+2.0617549762627094E-6i          37492.83934058833+2.0617549762627094E-6i          0.9993530421920379                                6.469578079642723E-4
0.4407397100995781                                38570.51071817486+1.0027198308956311E-6i          38570.51071817486+1.0027198308956311E-6i          0.9990743234565402                                9.256765434596326E-4
0.4407397100995781                                49767.81883767359+4.991676536750033E-5i           49767.81883767359+4.991676536750033E-5i           0.07973253559855949                               0.920267464401441
0.4407397100995781                                49943.15185425029-2.48152501153559E-4i            49943.15185425029-2.48152501153559E-4i            0.07999100653979745                               0.9200089934602004
0.4407397100995781                                66813.503796508-4.359459303903272E-5i             66813.503796508-4.359459303903272E-5i             0.07108653413771612                               0.9289134658622843
0.4407397100995781                                69211.25777713218-0.001906969700701982i           69211.25777713218-0.001906969700701982i           0.13407723777606345                               0.8659227622239357
0.4407397100995781                                77416.97912520294+6.132433281689947E-5i           77416.97912520294+6.132433281689947E-5i           0.9965437387761762                                0.0034562612238237733
0.4407397100995781                                78472.36452709638-1.059235612674596E-4i           78472.36452709638-1.059235612674596E-4i           0.9958662711201025                                0.004133728879896698
0.4407397100995781                                87096.19033937267+7.357788286294284E-4i           87096.19033937267+7.357788286294284E-4i           0.11498428305163329                               0.8850157169483672
0.4407397100995781                                87279.68926461086+4.8643789091878606E-4i          87279.68926461086+4.8643789091878606E-4i          0.11494269392808147                               0.8850573060719191
0.8814794201991561                                0.1760050354423311-3.396662042703077E-8i          0.1760050354423311-3.396662042703077E-8i          5.675265391177034E-7                              0.9999994324734574
0.8814794201991561                                375.0804557275554-2.5476519489525192E-11i         375.0804557275554-2.5476519489525192E-11i         0.9999999524411669                                4.7558833812418184E-8
0.8814794201991561                                1733.99559218102+5.4071794268169794E-8i           1733.99559218102+5.4071794268169794E-8i           0.006316198407254489                              0.9936838015927444
0.8814794201991561                                1804.3938907901436+3.0914024874306464E-8i         1804.3938907901436+3.0914024874306464E-8i         0.006618111193170969                              0.99338188880683
0.8814794201991561                                8451.903804358437-2.3769642113258766E-6i          8451.903804358437-2.3769642113258766E-6i          0.021036200314834812                              0.9789637996851668
0.8814794201991561                                8616.36640791523-5.315062147089881E-7i            8616.36640791523-5.315062147089881E-7i            0.021554517830783795                              0.9784454821692165
0.8814794201991561                                16956.686671799653+2.8227832984069595E-5i         16956.686671799653+2.8227832984069595E-5i         0.05549733423353301                               0.9445026657664667
0.8814794201991561                                21214.19183977232-4.419484181383353E-5i           21214.19183977232-4.419484181383353E-5i           0.028072938951496165                              0.9719270610485028
0.8814794201991561                                33105.985148111984-5.8568535438696946E-5i         33105.985148111984-5.8568535438696946E-5i         0.06522525052626676                               0.9347747494737324
0.8814794201991561                                33410.10453583425-5.424026451472862E-5i           33410.10453583425-5.424026451472862E-5i           0.06588159637415515                               0.9341184036258442
0.8814794201991561                                37393.56540588041-3.3540663271078283E-6i          37393.56540588041-3.3540663271078283E-6i          0.9993412080704287                                6.587919295716253E-4
0.8814794201991561                                38669.25785863445+4.116882820582602E-5i           38669.25785863445+4.116882820582602E-5i           0.9990860121175342                                9.139878824673586E-4
0.8814794201991561                                49680.48398378749+4.900058165043412E-5i           49680.48398378749+4.900058165043412E-5i           0.07960141328089572                               0.9203985867191034
0.8814794201991561                                50030.64666090158+1.4865344109273138E-4i          50030.64666090158+1.4865344109273138E-4i          0.08011930072327185                               0.9198806992767293
0.8814794201991561                                66802.1074914222+3.720474028845157E-4i            66802.1074914222+3.720474028845157E-4i            0.07137037657151654                               0.9286296234284814
0.8814794201991561                                69222.80755112763+3.8927919378314304E-4i          69222.80755112763+3.8927919378314304E-4i          0.13380512548840431                               0.8661948745115972
0.8814794201991561                                77333.0298162047+1.2431404226425887E-4i           77333.0298162047+1.2431404226425887E-4i           0.9965111026325207                                0.003488897367479533
0.8814794201991561                                78556.79791589925+4.772172041839338E-5i           78556.79791589925+4.772172041839338E-5i           0.9958984961471349                                0.0041015038528661035
0.8814794201991561                                87004.51638871993-7.993840195041907E-4i           87004.51638871993-7.993840195041907E-4i           0.11500153504136373                               0.8849984649586383
0.8814794201991561                                87370.90615635924-7.427220819275502E-5i           87370.90615635924-7.427220819275502E-5i           0.11492172540069791                               0.8850782745993006
1.3222191302987343                                0.3969118258050189-6.420374532524408E-9i          0.3969118258050189-6.420374532524408E-9i          1.2769557347362704E-6                             0.9999987230442656
1.3222191302987343                                562.6200855509092+1.1702970404638743E-10i         562.6200855509092+1.1702970404638743E-10i         0.9999998929651095                                1.0703489223953536E-7
1.3222191302987343                                1716.6043227209104+2.5499851193585984E-8i         1716.6043227209104+2.5499851193585984E-8i         0.006242009730789107                              0.993757990269211
1.3222191302987343                                1822.1333816509068-1.3977172487475048E-7i         1822.1333816509068-1.3977172487475048E-7i         0.006695353210081901                              0.9933046467899196
1.3222191302987343                                8411.134077281808-4.670740262661781E-6i           8411.134077281808-4.670740262661781E-6i           0.02090641282577892                               0.9790935871742216
1.3222191302987343                                8657.777107008938-4.843088769426786E-6i           8657.777107008938-4.843088769426786E-6i           0.021684105147813406                              0.9783158948521867
1.3222191302987343                                16952.318294287765+1.0799995006712052E-4i         16952.318294287765+1.0799995006712052E-4i         0.05545057450411669                               0.944549425495883
1.3222191302987343                                21219.090390129742-1.205993819958501E-5i          21219.090390129742-1.205993819958501E-5i          0.028123528920462312                              0.9718764710795375
1.3222191302987343                                33030.16974484959+6.726956580922323E-6i           33030.16974484959+6.726956580922323E-6i           0.06506204343774859                               0.9349379565622534
1.3222191302987343                                33486.20962185712+6.039239790440571E-5i           33486.20962185712+6.039239790440571E-5i           0.06604743206566976                               0.9339525679343289
1.3222191302987343                                37255.73323057404-2.178831881138099E-5i           37255.73323057404-2.178831881138099E-5i           0.9993319939295643                                6.680060704352394E-4
1.3222191302987343                                38806.211547653314-6.468879295238178E-7i          38806.211547653314-6.468879295238178E-7i          0.9990949629552612                                9.050370447384018E-4
1.3222191302987343                                49593.14790060034-1.0325563978237972E-4i          49593.14790060034-1.0325563978237972E-4i          0.07946940454129366                               0.920530595458708
1.3222191302987343                                50118.247721027015+6.940971149061917E-5i          50118.247721027015+6.940971149061917E-5i          0.08024658639130645                               0.9197534136086927
1.3222191302987343                                66783.35070217171+3.107301883092981E-4i           66783.35070217171+3.107301883092981E-4i           0.0718254480281595                                0.9281745519718416
1.3222191302987343                                69241.81749214507+0.0027889847375930825i          69241.81749214507+0.0027889847375930825i          0.13336856947995038                               0.8666314305200506
1.3222191302987343                                77214.36690904209-8.543279044084328E-5i           77214.36690904209-8.543279044084328E-5i           0.9964806602736294                                0.0035193397263694323
1.3222191302987343                                78676.26797549543-6.232892404797804E-5i           78676.26797549543-6.232892404797804E-5i           0.9959282913564035                                0.0040717086435949415
1.3222191302987343                                86912.63324770256-8.030516395462335E-5i           86912.63324770256-8.030516395462335E-5i           0.11501798525407482                               0.884982014745924
1.3222191302987343                                87462.02873307784+2.2802970856021363E-4i          87462.02873307784+2.2802970856021363E-4i          0.11489908048257202                               0.8851009195174274
1.7629588403983123                                0.7058667915588104+2.000190558860149E-8i          0.7058667915588104+2.000190558860149E-8i          2.2701958576744517E-6                             0.9999977298041423
1.7629588403983123                                750.1590011907005-2.2740412653643118E-11i         750.1590011907005-2.2740412653643118E-11i         0.9999998096279796                                1.9037202030567555E-7
1.7629588403983123                                1699.2787344789863-8.075033149309859E-8i          1699.2787344789863-8.075033149309859E-8i          0.006168464524815501                              0.993831535475186
1.7629588403983123                                1839.946250511421-5.158991484144116E-9i           1839.946250511421-5.158991484144116E-9i           0.0067731734539393735                             0.9932268265460615
1.7629588403983123                                8370.493709785276-2.4549466383696706E-6i          8370.493709785276-2.4549466383696706E-6i          0.020776582987243875                              0.9792234170127542
1.7629588403983123                                8699.315092532337+1.1088965453875416E-5i          8699.315092532337+1.1088965453875416E-5i          0.021813654589676493                              0.9781863454103213
1.7629588403983123                                16946.21954019081-5.369498472609528E-5i           16946.21954019081-5.369498472609528E-5i           0.05538554688627191                               0.9446144531137274
